# 來源:票 84 身分改寫,由演練 B2(乾淨 clone,參數與本尊逐位元組相同)產出的 git-filter-repo commit-map。
# 產生時間:2026-08-27;本尊改寫於同日,HEAD 落在 e769e7bfc2caeae7189b4f86ca37ead71911cf3c(與 B2 相同,故本表對本尊逐條適用)。
# 適用範圍:key(old 欄)是【票 84 改寫前、票 39 改寫後】那一期的 sha —— 也就是 docs/ 散文裡現在寫著的那些。236 條,涵蓋當時全部 236 個 commit。
old                                      new
66139a8af945507a5f0a56ceba45893c0b1cfc34 8a175cacb622485c8825f3efe9d00a1a55df3bb7
665966ebbe9086d2f5b64c4fd511e84d87e4379d 170f51b35e592fcec5cdd80a2167cafe5e7df09f
66bba92f9fc15efd1ae22c2d3d4c1439abd4acd0 99913fe7deabe3eb088bd142a870d24775134d20
676f06c8cada827729b2f29b936f51a2bf86e59e dc74f767dfb826936bbda3c2b4afe367064237c4
68881356196b232cffa5e29d7016a5bc3fd32cbe e37b613e7d78555efdaea9b83cf9d757b3165189
69854e95c5056fc1bdaa9020e1210e8c770fd7d0 a2d225ad84073b987d5d281457c02fe25fd56316
6cbbeebdccce91ea27044486ee6d1a5b2c0fea5d 34100d5a8770f6291a2a67ab9634898e4be1e307
7020057cc815f98fd98aa7264b10fe312c556f8b 7e22f8c398f549a7cd14a1d2b4fe208b4ccdaca0
703b2428504f84f033ee8cfdb6f432bcf9c6bf0c 11212d5e71093ee69a4d08df56104816b8e4e6b3
70573653829755057f8d355967d970eb9139d289 a5a0902df25b0bcaba53c3cac7fb26aaf9183c4b
721cb8ff331140d007ebc6ec641f31f42849b4df 39e417bf800c5692744d592e314ba15e17a8e8e7
7253d46d34ff164b23a5ca9d8c6bd437c5aa584f b0f26c1d7e6f736eda5d14eb84e2e61e5339d6a7
72b1edbb5fbdcb469fa6fff6ebcb525c95799e6b 82ec290693bf5e6c2d8a1010fd4e47c11eaf105b
736ef45904e0def127c7ad8e5baca5e32c951c10 554cd2a8bcb2395ec8ba54c605ec7102d8df1b11
