# 來源:票 39 單刀歷史手術(2026-08-15)當時 git-filter-repo 留在 .git/filter-repo/commit-map 的表,票 84 動刀前自本尊複製保存。
# 產生時間:2026-08-15 20:42;票 84 改寫時該檔會被覆寫,此為動刀前的副本。
# 適用範圍:key(old 欄)是【票 39 改寫前】那一期的 sha,與上面那份不同期,兩份不可互換使用。97 條。
old                                      new
e4d3bec4d65c97ab7b6a8b58540f6d2f5e41f0a8 8b726841868343e425a95c48a9ee510b73f8c3b1
e51c8e3d8f578a9223a7f8e011a0215798965643 c11d6db031e800d35d3abfb346f5d7d7ba84e93f
e973af21a42f61732d90a4a30fb04aa2befc3b2f 88cc5216d31b357d58e56efad37efa1c2616bb2a
e9cedffcb9f181bf0bfe2190dc5d40977a834247 1dfe8c5454b4821f026ff4035cbdeeadc8653164
e9e3ca4cfb4311e77d58703f2950502fb17992f4 46313062c3dca1a55971ee506ce8b8757b4fcc8d
e9f2d13a2bd904ea67f3899e9b0a1a686a934e39 f08e5662c1e83d309f81742054e85fff73fc909b
ea12b682106b7633fbcbd7a1b1e95eb7eab561d2 8de0b92ff53db90b7fc4fd2841b7b29e67c5b47c
eb47500654c7d54529021a06fc8462904c307dcd b378d314d96a85b774f2c7fc12c6f7fbd154b484
f19a4181a321e135ce34b83d0410999d64445786 d4673b656a32f889deffbedccb4b6cf0d3eb4ff1
f2f65030c8ef6db82ff1ff961fcff4a71ba8136a 588adb5d9d3bfd7a5747ce02980545a4b1f6977c
f9f452cc698969580fb3fcc10d36a3e15d1020c8 3793afe05f0be24906bd941a869bb2bc1cc63e63
fd81dfdf4617d4ba604e2c478793ad39ecc0b47e 8af42b931f868607fe137b599ccdb73470e6d496
ffb1fc7cc692516bdad2de26b1709d88ad4167c8 60903c44f0093d2b5aa69ec3777a4ee04c824dc8
